w1_hhid,pid,w1_prov2011,w1_geo2011,w1_r_relhead,w1_best_gen,w1_best_race,w1_best_edu,w1_best_age_yrs,w1_hhincome,w1_expenditure
101012,314585,2,1,1,2,1,25,51,1035.9819,508.98199
101013,314544,2,1,1,1,1,25,45,568.96429,841.96436
101013,314550,2,1,3,2,1,25,32,568.96429,841.96436
101013,406295,2,1,4,2,1,2,9,568.96429,841.96436
101013,406296,2,1,4,1,1,2,13,568.96429,841.96436
101013,406297,2,1,4,2,1,3,11,568.96429,841.96436
101014,301454,2,1,4,1,1,3,15,1338.1969,634.67334
101014,314575,2,1,4,1,1,4,25,1338.1969,634.67334
101014,314580,2,1,3,2,1,25,60,1338.1969,634.67334
101014,314581,2,1,4,2,1,8,22,1338.1969,634.67334
101014,314582,2,1,1,1,1,25,62,1338.1969,634.67334
101014,406298,2,1,4,1,1,2,13,1338.1969,634.67334
101015,314570,2,1,1,2,1,5,47,286.1145,352.46249
101015,406352,2,1,4,1,1,2,9,286.1145,352.46249
101016,314109,2,1,13,2,1,9,16,1320.2302,1275.2302
101016,314110,2,1,1,2,1,25,50,1320.2302,1275.2302
101017,314529,2,1,12,1,1,25,24,203.12814,459.46698
101017,314530,2,1,3,2,1,25,17,203.12814,459.46698
101017,314531,2,1,1,1,1,25,38,203.12814,459.46698
101018,314578,2,1,1,1,1,7,37,1783.3381,1462.3384
101020,314542,2,1,1,2,1,25,79,1814.6343,1006.6342
101020,314543,2,1,16,2,1,4,32,1814.6343,1006.6342
101020,406291,2,1,13,1,1,25,1,1814.6343,1006.6342
101020,406292,2,1,13,1,1,25,4,1814.6343,1006.6342
101020,406293,2,1,13,2,1,1,6,1814.6343,1006.6342
101020,407218,2,1,13,2,1,1,8,1814.6343,1006.6342
101021,314567,2,1,1,2,1,6,68,1224.8191,1415.8191
101021,314568,2,1,4,2,1,9,18,1224.8191,1415.8191
101021,406324,2,1,4,1,1,1,9,1224.8191,1415.8191
101021,406325,2,1,13,2,1,0,7,1224.8191,1415.8191
101021,406330,2,1,13,1,1,25,1,1224.8191,1415.8191
101022,314558,2,1,1,1,1,25,44,2489,2581
101022,314559,2,1,4,2,1,8,17,2489,2581
101022,314560,2,1,3,2,1,6,55,2489,2581
101022,403744,2,1,4,1,1,6,12,2489,2581
101022,406326,2,1,4,2,1,0,5,2489,2581
101022,406327,2,1,4,2,1,25,2,2489,2581
101022,406329,2,1,4,2,1,4,10,2489,2581
101023,314523,2,1,1,1,1,25,43,2729.4897,1264.49
101023,314569,2,1,3,2,1,25,30,2729.4897,1264.49
101023,314573,2,1,8,2,1,25,65,2729.4897,1264.49
101023,406331,2,1,4,1,1,3,12,2729.4897,1264.49
101023,406332,2,1,4,2,1,2,10,2729.4897,1264.49
101023,406333,2,1,4,1,1,25,7,2729.4897,1264.49
